VfAIRF_dm_Airflow,afm_air_flw,"考虑egr,purge之后的flow",,,,,,,,,
VfEPSE_dm_PurgeValveFlow,afm_cp_flw,purge flow to manifold,,,,,,,,,
VfEPSE_m_IntakePortFlow,afm_cyl_flw,air flow to cylinder,,,,,,,,,
VfEPSE_m_EGR_ValveFlow,afm_egr_flw,EGR flow to manifold,,,,,,,,,
VfEPSE_Pct_EGR_Percent,afm_egr_pct,egr flow to cylinder flow pct,,,,,,,,,
VfEPSE_m_ExhaustSysFlow,afm_exh_flw,,,,,,,,,,
VfETSE_T_ExhaustMnfdTemp,afm_exh_mnfd_t,,,,,,,,,,
EPSE_SysAreaRatioNorm,afm_exh_p_area_fac,,,,,,,,,,
VfEPSE_p_ExhaustMnfdPresEst,afm_exh_press,,,,,,,,,,
VfETSE_T_ExhaustPortTempEst,afm_exh_prt_t,,,,,,,,,,
SfETSE_T_CoolEffectByDeltaAfr,afm_exh_t_af_cool,,,,,,,,,,
SfETSE_T_CoolEffectByEgr,afm_exh_t_egr_cool,,,,,,,,,,
SfETSE_T_HeatEffectByDeltaSpark,afm_exh_t_ig_bias,,,,,,,,,,
SfETSE_T_CoolEffectByVkphViat,afm_exh_t_vspd_cool,,,,,,,,,,
VfEPSE_r_PresRatio_ExhtoMAP,afm_exh_to_map_fac,,,,,,,,,,
VfEPSE_m_GmsAirPerSec,afm_frsh_air_flw,fresh airflow of intakeport,,,,,,,,,
SfEPSE_IntakeMnfdNetFlow,afm_im_flw,final intake manifold flow,,,,,,,,,
VfETSE_T_IntakePlenumTemp,afm_intk_mnfd_t,,,,,,,,,,
VfETSE_T_IntakePortTemp,afm_intk_prt_t,,,,,,,,,,
VfEPSE_p_IntakeMnfdPresEst,afm_mdl_map,airflow model map,,,,,,,,,
SfEPSE_MAP_DerivEst,afm_mmap_d,Derivative term used in model map calculation,,,,,,,,,
SfEPSE_MAP_DerivModelEst,afm_mmap_d_bs,model map derivative calculation base ,,,,,,,,,
SfEPSE_MAP_DerivIntegralEst,afm_mmap_d_i,model map derivative calculation integral term,,,,,,,,,
SfEPSE_MAP_DerivErrEst,afm_mmap_d_p,model map derivative calculation proportional term,,,,,,,,,
SfEPSE_IntakeMnfdPresEstErr,afm_mmap_dlt,delta between model map and map sensor,,,,,,,,,
PfEPSE_p_IntakeMnfdPresEst_Old,afm_mmap_lst,last model map value,,,,,,,,,
PfEPSE_p_IntakePresEstMax,afm_mmap_max,model map max,,,,,,,,,
SfEPSE_p_IntakePresEstUnbnd,afm_mmap_raw,model map raw,,,,,,,,,
NaEPSE_m_IC_Cell,afm_mmap_sum_adp_nv,model map adaptive value,,,,,,,,,
PfEPSE_LeadMAP,afm_pred_map,,,,,,,,,,
VfAIRF_m_GmsAirPerCyl,afm_stk_flw,airflow every stroke,,,,,,,,,
VfAIRF_Pct_EngLoadGmsPerCyl,afm_stk_flw_pct,,,,,,,,,,
VfETSE_T_ThrottleInletTemp,afm_thro_t,,,,,,,,,,
VfEPSE_m_ThrottleValveFlow,afm_tps_flw,throttle flow to manifold,,,,,,,,,
VfEPSE_VolEfficiency,afm_ve,,,,,,,,,,
VfFUEL_AirFuelRatio,fmsp_af_sp,air fuel ratio setpoint,,,,,,,,,
VbFUEL_CL_Enable,fmsp_cl_en,fuel closed loop control enable,,,,,,,,,
fv_cl_cor,fmsp_cl_fac,fuel closed loop factor,,,,,,,,,
fv_cl_cor_mdp,fmsp_cl_fac_avg,,,,,,,,,,
VbFUEL_PowerEnrichment,fmsp_pow_afr_en,,,,,,,,,,
VfEPSE_Pct_RawBaroPres,sys_amp_vlt_pct,ambient pressure sensor voltage,,,,,,,,,
VfVCPC_r_BX_Intk_DutyCycl,hw_b1_intk_vvt_dc,,,,,,,,,,
VfVIOS_U_IgnVolt,hw_bat_vlt,battery voltage,,,,,,,,,
VfVIOS_Pct_RawBoostAirTemp,sys_bst_t_vlt_pct,boost air temperature sensor voltage,,,,,,,,,
VsVIOS_InputData,hw_ect_vlt,engine coolant temperature sensor voltage,VsVIOS_InputData[0],,,VfVIOS_Pct_RawCoolant,,,,,
VfFUEL_phi_InjAngle,hw_eoi_pre,main injection eoi,VfFUEL_phi_Inj2Angle,,,,,,,,
VfFUEL_phi_InjAngle2,hw_eoi_main,main injection eoi,VfFUEL_phi_Inj2Angle2,,,,,,,,
VfFUEL_phi_InjTrimAngle,hw_eoi_post,post injection eoi,VfFUEL_phi_Inj2TrimAngle,,,,,,,,
HAL_Analog_Raw,hw_an_vlt,manifold press sensor voltage,HAL_Analog_Raw[26],,,,,,,,
VfVIOS_U_MRIGN_VoltFilt,hw_mpr_vlt,,,,,,,,,,
VfVIOS_U_MRIGN_VoltRaw,hw_mpr_vlt_raw,,,,,,,,,,
HAL_Analog_Raw,hw_pps1_vlt,pedal position sensor1 voltage,HAL_Analog_Raw[47],,,,,,,,
HAL_Analog_Raw,hw_pps2_vlt,pedal position sensor2 voltage,HAL_Analog_Raw[49],,,,,,,,
HAL_Analog_Raw,hw_tps1_vlt,throttle position sensor1 voltage,HAL_Analog_Raw[54],,,,,,,,
HAL_Analog_Raw,hw_tps2_vlt,throttle position sensor2 voltage,HAL_Analog_Raw[55],,,,,,,,
VaVIOS_U_O2SensorRaw,hw_o2_vlt_raw,,,,,,,,,,
VfSPRK_phi_SparkAdvCurrent,ig_actv_iga,,,,,,,,,,
VfSPRK_phi_COT_RetardFromMBT,ig_avg_rtd_ref,average iga retard from MBT,,,,,,,,,
VfSPRK_phi_StaticDeltaFromMBT,ig_bas_rtd_ref,base iga retard from MBT,,,,,,,,,
VfSPRK_phi_CoolantCorr,ig_iga_ect_bias,coolant temperature bias of base ignition angle,,,,,,,,,
VfSPRK_Pct_SparkEffBaseSlow,ig_iga_eff,,,,,,,,,,
VfSPRK_phi_ACT_Corr,ig_iga_iat_bias,iat bias of base ignition angle,,,,,,,,,
VfEPSE_p_Baro,sys_amp,ambient pressure,,,,,,,,,
PfEPSE_p_BPS_Baro,sys_amp_snsr,ambient pressure measured by sensor,,,,,,,,,
VfEPSE_p_BPS_BaroUnDflt,sys_amp_snsr_raw,raw ambient pressure measured by sensor,,,,,,,,,
VaVIOS_U_OxygenSnsrs,sys_do2_vlt,downstream o2 sensor volt,,,,,,,,,
VfVIOS_T_CoolTemp,sys_ect,engine coolant temperature,,,64,,,,,,
VfVIOS_T_CoolTempUndef,sys_ect_raw,engine coolant temperature raw,,,66,,,,,,
NaVIOS_t_RunTimeLoRes,sys_eng_rtm_nv,single engine runtime every trip,NaVIOS_t_RunTimeLoRes[0],,,,,,,,
VfVIOS_n_EngSpd,sys_eng_spd,engine speed,,,,,,,,,
VfVIOS_n_EngSpdChngPerSec,sys_espd_acl,engine speed accelerated velocity,,,,,,,,,
VfVIOS_n_EngSpdSmoothed,sys_espd_avg,averaged engine speed,,,,,,,,,
VfVIOS_n_EngSpdDelta,sys_espd_delt,engine speed delta every segment,,,,,,,,,
VfVIOS_n_EngSpdUnDflt,sys_espd_raw,raw engine speed,,,,,,,,,
VfVIOS_T_IntakeTemp,sys_iat,intake air temperature,,,,,,,,,
VfVIOS_T_IntakeTempUndef,sys_iat_raw,intake air temperature raw,,,,,,,,,
VfVIOS_p_MnfdVac,sys_im_vac,intake manifold vacumm,,,,,,,,,
VbVIOS_IGN_Key_Off,sys_key_off,ignition key off,,,,,,,,,
VaVIOS_t_7p8TimArry,sys_key_off_dur,key off duration,VaVIOS_t_7p8TimArry[2],,,,,,,,
VbVIOS_IgnSt,sys_key_on,ignition key on,,,,,,,,,
VaVIOS_t_7p8TimArry,sys_key_on_dur,key on duration,VaVIOS_t_7p8TimArry[17],,,,,,,,
NfVIOS_T_CoolTempShutdown,sys_keyoff_ect_nv,key off engine coolant temperature,,,,,,,,,
NfVIOS_T_IntakeTempShutdown,sys_keyoff_iat_nv,key off engine intake air temperature,,,,,,,,,
VfVIOS_T_CoolTempStartup,sys_keyon_ect,key on engine coolant temperature,,,,,,,,,
VfVIOS_T_IntakeTempStartup,sys_keyon_iat,key on engine intake air temperature,,,,,,,,,
VfVIOS_p_MnfdPresFiltd,sys_map,"map updated every seg when run,else every loop",,,,,,,,,
VfVIOS_p_AltdCompMnfdPres,sys_map_amp,normalized map based on ambient pressure,VfAIRF_p_AltdCompMnfdPres,,,,,,,,
VfVIOS_r_MnfdPresToBaro,sys_map_amp_rat,map div amp,,,,,,,,,
VfVIOS_p_MnfdPresFiltdUndef,sys_map_raw,"raw map updated every seg when run,else every loop",,,,,,,,,
VfVIOS_p_AltdCompMnfdPresUndef,sys_map_raw_amp,normalized raw map based on ambient pressure,,,,,,,,,
VfVIOS_p_MnfdPresSync,sys_map_seg,map based on segment ,,,,,,,,,
SfVIOS_p_MnfdPresSyncFiltd,sys_map_filt_seg,,,,,,,,,,
SfVIOS_p_MAP_SyncFiltdUndef,sys_map_seg_raw,,,,,,,,,,
SfVIOS_p_DefaultMAP,sys_map_dflt,,,,,,,,,,
SeETCI_APS_CorrStatus,sys_pps_corr_stat,pps corr state,,,,,,,,,
VfETCI_Pct_VirtualAccelPedalPstn,sys_pps_pct,virtual pedal position,,,,,,,,,
NfETCI_Pct_MinPedalPos,sys_pps_scald_zero_nv,scaled pedal position zero pct,,,,,,,,,
VfETCI_Pct_AccelPdlPosInd,sys_pps_scaled,scaled pps based on weighted pps,,,,,,,,,
SeETCI_APS_RangeStatus,sys_pps_vlt_stat,pps voltage range state,,,,,,,,,
VaETCI_APS_Displacement,sys_pps1_pct,pedal zeroed position1 percentage,,,,,,,,,
VaETCI_Pct_APS_Norm,sys_pps1_pct_raw,pedal position1 percentage,,,,,,,,,
NaETCI_Pct_APS_LearnedMin,sys_pps1_zero_nv,learned pps1 zero position,,,,,,,,,
VaETCI_APS_Displacement,sys_pps2_pct,pedal zeroed position2 percentage,,,,,,,,,
VaETCI_Pct_APS_Norm,sys_pps2_pct_raw,pedal position2 percentage,,,,,,,,,
NaETCI_Pct_APS_LearnedMin,sys_pps2_zero_nv,learned pps2 zero position,,,,,,,,,
VcVIOS_RunModeCount,sys_run_dly_seg_cnts,engine run segment delay counts,,,,,,,,,
VcVIOS_RunCylCount,sys_run_dly_thr,engine run segment delay threshhold ,,,,,,,,,
VfVIOS_t_RefPeriod,sys_seg_dur,segment duration,,,,,,,,,
VbVIOS_ShutdownComplete,sys_shut_dwn_en,engine shutdown condtions met,,,,,,,,,
VfVIOS_n_CrankToRunThrsh,sys_st_run_espd_thr,engine start to run engine speed thr,,,,,,,,,
VeVIOS_EngSt,sys_eng_state,engine state,,,,,,,,,
VbVIOS_ClosedThrot,sys_thro_cls,closed throttle,,,,,,,,,
VfVIOS_Pct_VirtualThrotPstn,sys_tps_pct,,,,,,,,,,
VfVIOS_Pct_VirtlThrtPstn2X_Old,sys_tps_2x_lst,,,,,,,,,,
